Date,Open,High,Low,Close,Adj Close,Volume
17/09/20,415.60,437.79,408.00,423.43,423.43,76779200
18/09/20,447.94,451.00,428.80,442.15,442.15,86406800
21/09/20,453.13,455.68,407.07,449.39,449.39,109476800
22/09/20,429.60,437.76,417.60,424.23,424.23,79580800
23/09/20,405.16,412.15,375.88,380.36,380.36,95074200
24/09/20,363.80,399.50,351.30,387.79,387.79,96561100
25/09/20,393.47,408.73,391.30,407.34,407.34,67208500
28/09/20,424.62,428.08,415.55,421.20,421.20,49719600
29/09/20,416.00,428.50,411.60,419.07,419.07,50219300
30/09/20,421.32,433.93,420.47,429.01,429.01,48145600
01/10/20,440.76,448.88,434.42,448.16,448.16,50741500
02/10/20,421.39,439.13,415.00,415.09,415.09,71430000
05/10/20,423.35,433.64,419.33,425.68,425.68,44722800
06/10/20,423.79,428.78,406.05,413.98,413.98,49146300
07/10/20,419.87,429.90,413.85,425.30,425.30,43127700
08/10/20,438.44,439.00,425.30,425.92,425.92,40421100
09/10/20,430.13,434.59,426.46,434.00,434.00,28925700
12/10/20,442.00,448.74,438.58,442.30,442.30,38791100
13/10/20,443.35,448.89,436.60,446.65,446.65,34463700
14/10/20,449.78,465.90,447.35,461.30,461.30,47879700
15/10/20,450.31,456.57,442.50,448.88,448.88,35672400
16/10/20,454.44,455.95,438.85,439.67,439.67,32775900
19/10/20,446.24,447.00,428.87,430.83,430.83,36287800
20/10/20,431.75,431.75,419.05,421.94,421.94,31656300
21/10/20,422.70,432.95,421.25,422.64,422.64,32370500
22/10/20,441.92,445.23,424.51,425.79,425.79,39993200
23/10/20,421.84,422.89,407.38,420.63,420.63,33717000
26/10/20,411.63,425.76,410.00,420.28,420.28,28239200
27/10/20,423.76,430.50,420.10,424.68,424.68,22686500
28/10/20,416.48,418.60,406.00,406.02,406.02,25451400
29/10/20,409.96,418.06,406.46,410.83,410.83,22655300
30/10/20,406.90,407.59,379.11,388.04,388.04,42511300
02/11/20,394.00,406.98,392.30,400.51,400.51,29021100
03/11/20,409.73,427.77,406.69,423.90,423.90,34351700
04/11/20,430.62,435.40,417.10,420.98,420.98,32143100
05/11/20,428.30,440.00,424.00,438.09,438.09,28414500
06/11/20,436.10,436.57,424.28,429.95,429.95,21706000
09/11/20,439.50,452.50,421.00,421.26,421.26,34833000
10/11/20,420.09,420.09,396.03,410.36,410.36,30284200
11/11/20,416.45,418.70,410.58,417.13,417.13,17357700
12/11/20,415.05,423.00,409.52,411.76,411.76,19855100
13/11/20,410.85,412.53,401.66,408.50,408.50,19771100
16/11/20,408.93,412.45,404.09,408.09,408.09,26838600
17/11/20,460.17,462.00,433.01,441.61,441.61,61188300
18/11/20,448.35,496.00,443.50,486.64,486.64,78044000
19/11/20,492.00,508.61,487.57,499.27,499.27,62475300
20/11/20,497.99,502.50,489.06,489.61,489.61,32911900
23/11/20,503.50,526.00,501.79,521.85,521.85,50260300
24/11/20,540.40,559.99,526.20,555.38,555.38,53648500
25/11/20,550.06,574.00,545.37,574.00,574.00,48930200
27/11/20,581.16,598.78,578.45,585.76,585.76,37561100
30/11/20,602.21,607.80,554.51,567.60,567.60,63003100
01/12/20,597.59,597.85,572.05,584.76,584.76,40103500
02/12/20,556.44,571.54,541.21,568.82,568.82,47775700
03/12/20,590.02,598.97,582.43,593.38,593.38,42552000
04/12/20,591.01,599.04,585.50,599.04,599.04,29401300
07/12/20,604.92,648.79,603.05,641.76,641.76,56309700
08/12/20,625.51,651.28,618.50,649.88,649.88,64265000
09/12/20,653.69,654.32,588.00,604.48,604.48,71291200
10/12/20,574.37,627.75,566.34,627.07,627.07,67083200
11/12/20,615.01,624.00,596.80,609.99,609.99,46475000
14/12/20,619.00,642.75,610.20,639.83,639.83,52040600
15/12/20,643.28,646.90,623.80,633.25,633.25,45071500
16/12/20,628.23,632.50,605.00,622.77,622.77,42095800
17/12/20,628.19,658.82,619.50,655.90,655.90,56270100
18/12/20,668.90,695.00,628.54,695.00,695.00,222126200
21/12/20,666.24,668.50,646.07,649.86,649.86,58045300
22/12/20,648.00,649.88,614.23,640.34,640.34,51716000
23/12/20,632.20,651.50,622.57,645.98,645.98,33173000
24/12/20,642.99,666.09,641.00,661.77,661.77,22865600
28/12/20,674.51,681.40,660.80,663.69,663.69,32278600
29/12/20,661.00,669.90,655.00,665.99,665.99,22910800
30/12/20,672.00,696.60,668.36,694.78,694.78,42846000
31/12/20,699.99,718.72,691.12,705.67,705.67,49649900
04/01/21,719.46,744.49,717.19,729.77,729.77,48638200
05/01/21,723.66,740.84,719.20,735.11,735.11,32245200
06/01/21,758.49,774.00,749.10,755.98,755.98,44700000
07/01/21,777.63,816.99,775.20,816.04,816.04,51498900
08/01/21,856.00,884.49,838.39,880.02,880.02,75055500
11/01/21,849.40,854.43,803.62,811.19,811.19,59301600
12/01/21,831.00,868.00,827.34,849.44,849.44,46270700
13/01/21,852.76,860.47,832.00,854.41,854.41,33312500
14/01/21,843.39,863.00,838.75,845.00,845.00,31266300
15/01/21,852.00,859.90,819.10,826.16,826.16,38777600
19/01/21,837.80,850.00,833.00,844.55,844.55,25367000
20/01/21,858.74,859.50,837.28,850.45,850.45,25665900
21/01/21,855.00,855.72,841.42,844.99,844.99,20521100
22/01/21,834.31,848.00,828.62,846.64,846.64,20066500
25/01/21,855.00,900.40,838.82,880.80,880.80,41173400
26/01/21,891.38,895.90,871.60,883.09,883.09,23131600
27/01/21,870.35,891.50,858.66,864.16,864.16,27334000
28/01/21,820.00,848.00,801.00,835.43,835.43,26378000
29/01/21,830.00,842.41,780.10,793.53,793.53,34990800
01/02/21,814.29,842.00,795.56,839.81,839.81,25391400
02/02/21,844.68,880.50,842.20,872.79,872.79,24346200
03/02/21,877.02,878.08,853.06,854.69,854.69,18343500
04/02/21,855.00,856.50,833.42,849.99,849.99,15812700
05/02/21,845.00,864.77,838.97,852.23,852.23,18566600
08/02/21,869.67,877.77,854.75,863.42,863.42,20161700
09/02/21,855.12,859.80,841.75,849.46,849.46,15157700
10/02/21,843.64,844.82,800.02,804.82,804.82,36216100
11/02/21,812.44,829.88,801.73,811.66,811.66,21622800
12/02/21,801.26,817.33,785.33,816.12,816.12,23768300
16/02/21,818.00,821.00,792.44,796.22,796.22,19802300
